"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-3-12","1,400.28","1,395.00","1,401.69","1,391.09","848.35K","0.02%"
"2026-3-11","1,400.00","1,402.99","1,405.99","1,398.02","2.45M","-0.13%"
"2026-3-10","1,401.88","1,404.90","1,409.49","1,398.00","2.46M","0.35%"
"2026-3-9","1,397.00","1,390.00","1,404.90","1,383.20","3.74M","-0.36%"
"2026-3-6","1,402.00","1,395.00","1,407.50","1,388.00","2.92M","0.21%"
"2026-3-5","1,399.04","1,406.00","1,412.96","1,395.00","3.05M","-0.15%"
"2026-3-4","1,401.18","1,415.00","1,423.00","1,392.09","4.80M","-1.75%"
"2026-3-3","1,426.19","1,440.10","1,452.87","1,422.13","4.59M","-0.97%"
"2026-3-2","1,440.11","1,450.00","1,457.00","1,436.66","3.55M","-1.02%"
"2026-2-27","1,455.02","1,466.99","1,476.21","1,455.02","3.22M","-0.76%"
"2026-2-26","1,466.21","1,486.60","1,489.49","1,464.67","3.30M","-1.71%"
"2026-2-25","1,491.66","1,470.00","1,509.66","1,467.88","3.69M","1.69%"
"2026-2-24","1,466.80","1,521.00","1,524.40","1,463.60","4.19M","-1.25%"
"2026-2-13","1,485.30","1,486.60","1,507.80","1,470.58","4.17M","-0.09%"
"2026-2-12","1,486.60","1,500.20","1,502.82","1,473.36","4.62M","-1.18%"
"2026-2-11","1,504.33","1,504.80","1,514.00","1,496.00","3.09M","-0.03%"
"2026-2-10","1,504.80","1,524.97","1,524.97","1,496.50","3.96M","-1.32%"
"2026-2-9","1,524.96","1,518.00","1,542.88","1,513.49","5.12M","0.66%"
"2026-2-6","1,515.01","1,555.00","1,568.00","1,505.88","7.90M","-2.57%"
"2026-2-5","1,555.00","1,520.00","1,565.00","1,515.00","9.16M","1.97%"
