ROE	EC	DA	AS	NPL	AT
0.1195	0.3471	0.9127	17.3224	0.0158	0.0265
0.1212	0.5703	0.9151	17.1524	0.0156	0.0269
0.1135	0.4003	0.9187	17.1189	0.0157	0.0242
0.1061	0.6402	0.9114	17.0102	0.0146	0.0232
0.1035	0.1775	0.9179	16.1855	0.0167	0.023
0.1573	0.1804	0.9127	15.9391	0.0107	0.0347
0.1081	0.2157	0.9188	15.8887	0.0173	0.0247
0.1262	0.1878	0.9209	15.8816	0.0125	0.0257
0.1011	0.6537	0.9254	15.8319	0.0164	0.0259
0.0681	0.1892	0.9221	15.7543	0.0182	0.0266
0.1071	0.4323	0.9152	15.496	0.0138	0.0265
0.0958	0.4956	0.9185	15.3126	0.0118	0.0344
0.0864	0.2028	0.9169	15.0392	0.018	0.028
0.1065	0.1303	0.9237	14.8802	0.0157	0.0222
0.1209	0.1468	0.9225	14.7165	0.0122	0.0206
0.1191	0.0804	0.9221	14.6648	0.0132	0.0223
0.149	0.1872	0.9269	14.3021	0.0079	0.0253
0.1432	0.1392	0.9288	14.2323	0.0091	0.0227
0.1114	0.1557	0.9308	13.9719	0.0107	0.0212
0.1575	0.1456	0.9247	13.289	0.0153	0.0272
0.1034	0.0901	0.9084	12.2486	0.0096	0.0315
0.1084	0.09	0.9218	12.1008	0.011	0.0216
0.0915	0.0818	0.9214	11.8763	0.0117	0.0292
0.0885	0.0431	0.9141	11.869	0.0179	0.0235
0.0807	0.0693	0.9129	11.8454	0.0128	0.0269
