"名称","最新","最高","最低","涨跌额","涨跌幅","交易量","时间"
"中国神华","49.18","49.30","47.70","1.35","2.82%","19.08M","10:15:02"
"中国银行","5.37","5.38","5.33","0.01","0.19%","53.33M","10:14:42"
"中国石化","6.55","6.59","6.46","0.04","0.61%","175.4M","10:15:06"
"浦发银行","10.10","10.12","10.01","0.03","0.30%","24.91M","10:14:11"
"民生银行","3.99","4.00","3.96","0.02","0.50%","92.05M","10:14:23"
"上港集团","5.19","5.21","5.13","0.04","0.78%","32.15M","10:14:24"
"宝钢股份","7.09","7.10","7.00","0.05","0.71%","62.62M","10:13:39"
"中信证券","25.99","26.08","25.97","-0.11","-0.42%","23.71M","10:15:32"
"招商银行","39.52","39.58","39.33","0.02","0.05%","14.21M","10:14:58"
"中国联通","5.04","5.04","5.02","0.00","0.00%","45.59M","10:15:33"
"保利地产","6.43","6.45","6.35","0.04","0.63%","43.13M","10:14:10"
"上汽集团","14.33","14.37","14.23","0.04","0.28%","15.85M","10:14:06"
"恒瑞医药","55.41","56.04","55.31","-0.42","-0.75%","9.07M","10:15:32"
"贵州茅台","1,400.03","1,401.99","1,391.01","0.03","0.00%","782.71K","10:13:59"
"海螺水泥","25.41","25.46","24.92","-0.05","-0.20%","10.26M","10:13:59"
"伊利股份","26.40","26.48","26.28","-0.04","-0.15%","8.29M","10:13:54"
"长江电力","27.26","27.43","27.21","-0.04","-0.15%","25.31M","10:15:20"
"兴业银行","18.77","18.81","18.66","0.06","0.32%","20.11M","10:14:06"
"北京银行","5.48","5.48","5.42","0.04","0.74%","63.39M","10:14:03"
"中国铁建","7.38","7.41","7.34","0.01","0.14%","36.35M","10:15:31"
"三六零","12.55","12.75","12.34","0.00","0.00%","81.15M","10:14:03"
"新华保险","72.54","72.69","71.65","0.34","0.47%","3.44M","10:14:20"
"农业银行","6.64","6.64","6.58","0.01","0.15%","62.29M","10:14:01"
"中国平安","62.24","62.43","61.70","-0.31","-0.50%","16.73M","10:14:44"
"交通银行","6.82","6.83","6.77","0.03","0.44%","34.19M","10:14:18"
"中国中铁","5.95","5.98","5.90","0.02","0.34%","129.26M","10:14:08"
"工商银行","7.12","7.14","7.09","0.00","0.00%","56.92M","10:15:28"
"中国太保","39.59","39.73","39.25","0.11","0.28%","6.46M","10:14:20"
"中国人寿","42.56","42.70","42.35","-0.05","-0.12%","2.82M","10:14:06"
"中国建筑","5.14","5.15","5.10","0.01","0.20%","99.79M","10:14:08"
"中国中车","6.45","6.46","6.40","0.05","0.78%","67.57M","10:14:22"
"中国交建","8.26","8.28","8.20","0.01","0.12%","15.3M","10:14:19"
"光大银行","3.32","3.33","3.28","0.03","0.91%","119.88M","10:15:40"
"中国石油","12.31","12.39","11.95","0.18","1.48%","163.8M","10:13:40"
"建设银行","9.08","9.09","9.00","0.03","0.33%","20.67M","10:14:10"
"中信银行","7.35","7.38","7.30","0.01","0.14%","11.13M","10:14:05"
"海天味业","37.21","37.49","37.07","-0.18","-0.48%","3.06M","10:14:08"
"万 科Ａ","4.67","4.68","4.64","0.00","0.00%","26.93M","10:14:24"
"格力电器","37.72","37.84","37.58","-0.08","-0.21%","7.19M","10:14:15"
"Hangzhou Hikvision Digital Tech","31.68","31.79","31.45","0.03","0.10%","8.55M","10:14:15"
"洋河股份","51.12","51.36","50.92","-0.19","-0.37%","1.86M","10:14:21"
"顺丰控股","37.21","37.35","37.04","-0.11","-0.30%","4.41M","10:14:03"
"美的集团","77.29","77.75","76.93","-0.10","-0.13%","5.48M","10:14:15"
"平安银行","10.92","10.93","10.85","0.03","0.28%","20.53M","10:14:24"
"五 粮 液","102.11","102.11","101.70","-0.07","-0.07%","3.11M","10:14:24"
"国泰君安","18.18","18.23","18.15","-0.02","-0.11%","15.1M","10:14:17"
"招商蛇口","9.57","9.61","9.48","0.01","0.11%","7.53M","10:15:39"
"温氏股份","17.19","17.38","16.93","0.04","0.23%","14.97M","10:14:18"
"工业富联","53.71","54.78","53.65","-0.18","-0.33%","55.46M","10:14:20"
"迈瑞医疗","179.05","180.72","178.88","-1.52","-0.84%","1.43M","10:14:18"
